iter	Passed	Remaining
409	4716	6787
410	4730	6779
411	4743	6769
412	4756	6760
413	4769	6751
414	4781	6740
415	4795	6731
416	4809	6724
417	4824	6716
418	4838	6708
419	4851	6699
420	4863	6688
421	4876	6679
422	4888	6668
423	4899	6656
424	4910	6644
425	4921	6631
426	4933	6620
427	4944	6608
428	4957	6598
429	4968	6586
430	4981	6577
431	4993	6565
432	5007	6556
433	5020	6547
434	5034	6538
435	5047	6529
436	5060	6519
437	5073	6509
438	5086	6500
439	5099	6490
440	5113	6481
441	5125	6471
442	5138	6460
443	5152	6452
444	5166	6443
445	5178	6433
446	5190	6421
447	5202	6409
448	5213	6398
449	5225	6386
450	5236	6374
451	5248	6362
452	5260	6351
453	5271	6339
454	5283	6328
455	5295	6317
456	5307	6306
457	5321	6297
458	5342	6296
459	5361	6293
460	5377	6286
461	5392	6280
462	5408	6272
463	5424	6265
464	5440	6259
465	5454	6250
466	5470	6243
467	5485	6235
468	5498	6225
469	5511	6214
470	5523	6204
471	5538	6195
472	5550	6184
473	5562	6173
474	5575	6162
475	5587	6151
476	5600	6140
477	5613	6129
478	5625	6118
479	5637	6107
480	5650	6096
481	5664	6088
482	5678	6078
483	5690	6067
484	5703	6056
485	5715	6044
486	5727	6033
487	5740	6022
488	5753	6012
489	5766	6001
490	5780	5992
491	5792	5981
492	5805	5969
493	5817	5958
494	5829	5947
495	5841	5936
496	5854	5925
497	5866	5913
498	5881	5904
499	5894	5894
500	5907	5884
501	5920	5873
502	5934	5863
503	5947	5852
504	5960	5842
505	5973	5831
506	5985	5820
507	5998	5809
508	6011	5799
509	6024	5787
510	6037	5777
511	6050	5766
512	6064	5756
513	6077	5746
514	6091	5736
515	6107	5728
516	6122	5720
517	6137	5710
518	6153	5702
519	6168	5694
520	6183	5684
521	6198	5676
522	6214	5667
523	6229	5659
524	6244	5649
525	6259	5640
526	6284	5640
527	6305	5637
528	6324	5631
529	6342	5624
530	6361	5618
531	6378	5611
532	6395	5603
533	6412	5595
534	6427	5586
535	6443	5577
536	6458	5568
537	6474	5559
538	6488	5549
539	6504	5540
540	6517	5529
541	6531	5518
542	6544	5507
543	6558	5497
544	6573	5487
545	6586	5476
546	6600	5466
547	6616	5457
548	6630	5447
549	6645	5437
550	6659	5426
551	6673	5416
552	6686	5404
553	6700	5394
554	6714	5383
555	6731	5375
556	6746	5365
557	6759	5354
558	6774	5344
559	6789	5334
560	6804	5324
561	6818	5314
562	6833	5304
563	6849	5294
564	6864	5285
565	6879	5275
566	6894	5264
567	6908	5254
568	6923	5244
569	6937	5233
570	6955	5225
571	6969	5214
572	6982	5203
573	6998	5193
574	7011	5182
575	7026	5172
576	7041	5162
577	7055	5151
578	7069	5140
579	7083	5129
580	7098	5118
581	7111	5107
582	7128	5098
583	7142	5087
584	7156	5077
585	7170	5065
586	7184	5054
587	7198	5043
588	7211	5032
589	7225	5021
590	7239	5010
591	7252	4998
592	7267	4987
593	7280	4976
594	7294	4965
595	7307	4953
596	7319	4941
597	7332	4929
598	7345	4917
599	7358	4905
600	7373	4895
601	7387	4884
602	7401	4873
603	7416	4862
604	7429	4850
605	7444	4839
606	7458	4829
607	7471	4817
608	7488	4807
609	7503	4797
610	7519	4787
611	7533	4776
612	7547	4765
613	7566	4756
614	7581	4745
615	7594	4734
616	7607	4722
617	7620	4710
618	7636	4700
619	7651	4689
620	7666	4679
621	7680	4667
622	7694	4656
623	7708	4645
624	7723	4634
625	7738	4623
