iter	RMSE
0	0.4992053381
1	0.4451159689
2	0.4021761439
3	0.3684769699
4	0.3422301108
5	0.3214264124
6	0.305606916
7	0.2930032573
8	0.2838154476
9	0.2767092889
10	0.2714551516
11	0.2673230561
12	0.2637700193
13	0.2613889643
14	0.2590640447
15	0.2572211655
16	0.2556436184
17	0.2545358094
18	0.2533809271
19	0.2521505541
20	0.2514070268
21	0.2507122633
22	0.2496768321
23	0.2490613844
24	0.2481850218
25	0.2477212905
26	0.2471930771
27	0.2466850967
28	0.2460244682
29	0.2454102698
30	0.245034201
31	0.2446652475
32	0.2442184111
33	0.2438612408
34	0.2435329655
35	0.243066326
36	0.2424711324
37	0.2418034265
38	0.2412123253
39	0.2409268938
40	0.2406376378
41	0.2403238756
42	0.2398529367
43	0.2393072319
44	0.2388302873
45	0.2385665722
46	0.2382094224
47	0.2379179293
48	0.2375280661
49	0.2371327482
50	0.2367708926
51	0.236297184
52	0.2361050664
53	0.2358908552
54	0.2353179552
55	0.2350759351
56	0.2348338372
57	0.2343458222
58	0.2340109445
59	0.2336692905
60	0.2332961358
61	0.2330622406
62	0.2327388277
63	0.2323447525
64	0.232165931
65	0.2318585686
66	0.2315939981
67	0.2312207887
68	0.2309021112
69	0.2304944386
70	0.2302584199
71	0.2297550501
72	0.2293237949
73	0.2290432625
74	0.2286439409
75	0.2282801527
76	0.2281423682
77	0.2279321718
78	0.2278285596
79	0.2276205824
80	0.2275198501
81	0.2271706258
82	0.2268728288
83	0.2266432525
84	0.2264407723
85	0.2261469519
86	0.2260057043
87	0.2258339656
88	0.2256362263
89	0.2253621514
90	0.2251660532
91	0.2249932423
92	0.224715095
93	0.224541337
94	0.2241108519
95	0.2239509911
96	0.2235018266
97	0.2232643394
98	0.223047624
99	0.2228951224
100	0.2225771157
101	0.2222683069
102	0.2220995105
103	0.2218590627
104	0.221548167
105	0.2212496457
106	0.2210716688
107	0.2208590394
108	0.2205480681
109	0.2200926949
110	0.219939213
111	0.2198239578
112	0.2196379371
113	0.2195201941
114	0.2192874086
115	0.219212152
116	0.2189055002
117	0.2186407761
118	0.2184975337
119	0.2182591296
120	0.2181489594
121	0.2179810015
122	0.2178808202
123	0.2175886377
124	0.2175141026
125	0.2171996597
126	0.2169617998
127	0.2167904005
128	0.2166888097
129	0.2163908095
130	0.2163361456
131	0.2160623319
132	0.2158162167
133	0.2155206948
134	0.2154822485
135	0.2152427519
136	0.2150793226
137	0.214893864
138	0.2147697819
139	0.2145990283
140	0.2143801666
141	0.2141654533
142	0.2140424493
143	0.2138694248
144	0.2136917931
145	0.2134145718
146	0.2132816733
147	0.2130590864
148	0.212866488
149	0.2127047445
150	0.2125341497
151	0.2123484455
152	0.2122264175
153	0.2119384718
154	0.211787787
155	0.2116434863
156	0.2113978435
157	0.2111243932
158	0.2108581084
159	0.2107324954
160	0.2105275254
161	0.2103639459
162	0.2101381103
163	0.2098764418
164	0.2096597608
165	0.2095597332
166	0.2094087709
167	0.2093368772
168	0.2092102187
169	0.2090855983
170	0.2089224086
171	0.2088346354
172	0.2086526553
173	0.208507542
174	0.2082244361
175	0.2080145759
176	0.2077559498
177	0.2074891022
178	0.2073940998
179	0.2073316976
180	0.2070294377
181	0.2068500342
182	0.2067296237
183	0.2066242369
184	0.2064656781
185	0.2062684858
186	0.206116624
187	0.2059882702
188	0.2058348161
189	0.2056511674
190	0.2054067095
191	0.2051963652
192	0.2051397705
193	0.2050432356
194	0.20495369
195	0.2049286768
196	0.2047221496
197	0.2046475204
198	0.2045382094
199	0.2043293596
200	0.2043069647
201	0.2039501233
202	0.2038647306
203	0.2035767315
204	0.2034266986
205	0.2032570235
206	0.2031042109
207	0.2030586298
208	0.2029215637
209	0.2027555673
210	0.2026528118
211	0.2024100114
212	0.2022611369
213	0.2020448945
214	0.2018731736
215	0.2017729405
216	0.2016458437
217	0.2015095517
218	0.201486933
219	0.2013678891
220	0.2013107547
221	0.2011561321
222	0.2010683592
223	0.2009796128
224	0.2008875283
225	0.2007489287
226	0.2006629393
227	0.2004547653
228	0.2002730118
229	0.2000283026
230	0.1999869666
231	0.1998351535
232	0.1996941602
233	0.1995088895
234	0.1993517803
235	0.1991641798
236	0.1988239922
237	0.1987431204
238	0.1986414295
239	0.1985694058
240	0.1984324366
241	0.1983409549
242	0.1982307752
243	0.1980944284
244	0.1979550997
245	0.1978312555
246	0.1977627654
247	0.1976755623
248	0.1974407952
249	0.1974161812
250	0.1972826671
251	0.1970149991
252	0.1969103803
253	0.1966440376
254	0.1964685539
255	0.1963577096
256	0.1962529335
257	0.1960324096
258	0.1958817922
259	0.1955974263
260	0.1954410839
261	0.1953329427
262	0.1952368311
263	0.1951068239
264	0.1949180933
265	0.1948330489
266	0.1947378928
267	0.1946851169
268	0.1945838124
269	0.1945386508
270	0.1942583839
271	0.1941125833
272	0.1938866696
273	0.1935876901
274	0.1934994891
275	0.1934130008
276	0.1932540885
277	0.1931161852
278	0.1929508311
279	0.192779447
280	0.1926519134
281	0.1924683549
282	0.1922791154
283	0.192170633
284	0.1920286374
285	0.1920125652
286	0.1918727181
287	0.1918301777
288	0.1917373698
289	0.1915085336
290	0.1913326441
291	0.191244493
292	0.1910418399
293	0.1909894386
294	0.1909039515
295	0.1908454383
296	0.1908311056
297	0.1906832398
298	0.1905507461
299	0.1904220039
300	0.1902921075
301	0.1902357712
302	0.1900850293
303	0.1900163584
304	0.1897437007
305	0.1896072597
306	0.189483778
307	0.1894243813
308	0.1892817656
309	0.1892067978
310	0.189165015
311	0.1890676159
312	0.1888263693
313	0.188688726
314	0.188597403
315	0.1885105304
316	0.1884132297
317	0.1883257386
318	0.1882372472
319	0.1881160509
320	0.1880237421
321	0.1878399276
322	0.1876823919
323	0.1876417201
324	0.1876050645
325	0.1875330925
326	0.1873336557
327	0.1871391871
328	0.1870587559
329	0.1869574609
330	0.1868686619
331	0.1866225714
332	0.1864865785
333	0.1864485419
334	0.1863550055
335	0.1862922777
336	0.1862390337
337	0.1860853163
338	0.1860030283
339	0.185935636
340	0.1859251199
341	0.1858034392
342	0.1856520983
343	0.1854995121
344	0.1854208159
345	0.1853344158
346	0.1851357771
347	0.1850649039
348	0.1849611399
349	0.1848663556
350	0.1848302189
351	0.1847459863
352	0.1845681249
353	0.1845014384
354	0.1843273243
355	0.1841609392
356	0.1840624156
357	0.1839361757
358	0.1838276565
359	0.1836510432
360	0.1834992801
361	0.1833685926
362	0.1833202424
363	0.1831744704
364	0.1831263857
365	0.1830976859
366	0.1829790346
367	0.1829109831
368	0.1828025149
