,Model Name,MAE Mean,MAPE Mean,RMSE Mean
0,LinearRegression,33327.8557,0.2363,253471.6134
1,RandomForestRegressor,24578.6332,0.1941,40057.2023
2,XGBRegressor,24613.2725,0.1949,40128.2062
3,LGBMRegressor,24180.5036,0.1916,39240.3608
4,CatBoostRegressor,24012.4135,0.1904,39170.3234
